Id,Name,Shape,Size
361,functional_15_1/tfc3_2_1/tf_conv_18_1/conv2d_18_1/BiasAdd;functional_15_1/tfc3_2_1/tf_conv_18_1/conv2d_18_1/convolution;,1 40 40 128,819200
362,functional_15_1/tfc3_2_1/tf_conv_18_1/Sigmoid,1 40 40 128,819200
363,functional_15_1/tfc3_2_1/tf_conv_18_1/mul_1,1 40 40 128,819200
364,functional_15_1/tf_conv_25_1/sequential_7_1/tf_pad_4_1/Pad,1 42 42 128,903168
365,functional_15_1/tf_conv_25_1/sequential_7_1/conv2d_25_1/BiasAdd;functional_15_1/tf_conv_25_1/sequential_7_1/conv2d_25_1/convolution;functional_15_1/tf_conv_25_1/sequential_7_1/conv2d_25_1/Squeeze,1 20 20 256,409600
366,functional_15_1/tf_conv_25_1/Sigmoid,1 20 20 256,409600
367,functional_15_1/tf_conv_25_1/mul_1,1 20 20 256,409600
368,functional_15_1/tfc3_3_1/tf_conv_26_1/conv2d_26_1/BiasAdd;functional_15_1/tfc3_3_1/tf_conv_26_1/conv2d_26_1/convolution;,1 20 20 128,204800
369,functional_15_1/tfc3_3_1/tf_conv_26_1/Sigmoid,1 20 20 128,204800
370,functional_15_1/tfc3_3_1/tf_conv_26_1/mul_1,1 20 20 128,204800
371,functional_15_1/tfc3_3_1/sequential_8_1/tf_bottleneck_6_1/tf_conv_29_1/conv2d_29_1/BiasAdd;functional_15_1/tfc3_3_1/sequential_8_1/tf_bottleneck_6_1/tf_conv_29_1/conv2d_29_1/convolution;,1 20 20 128,204800
372,functional_15_1/tfc3_3_1/sequential_8_1/tf_bottleneck_6_1/tf_conv_29_1/Sigmoid,1 20 20 128,204800
373,functional_15_1/tfc3_3_1/sequential_8_1/tf_bottleneck_6_1/tf_conv_29_1/mul_1,1 20 20 128,204800
374,functional_15_1/tfc3_3_1/sequential_8_1/tf_bottleneck_6_1/tf_conv_30_1/conv2d_30_1/BiasAdd;functional_15_1/tfc3_3_1/sequential_8_1/tf_bottleneck_6_1/tf_conv_30_1/conv2d_30_1/convolution;,1 20 20 128,204800
375,functional_15_1/tfc3_3_1/sequential_8_1/tf_bottleneck_6_1/tf_conv_30_1/Sigmoid,1 20 20 128,204800
376,functional_15_1/tfc3_3_1/sequential_8_1/tf_bottleneck_6_1/tf_conv_30_1/mul_1,1 20 20 128,204800
377,functional_15_1/tfc3_3_1/sequential_8_1/tf_bottleneck_6_1/add,1 20 20 128,204800
378,functional_15_1/tfc3_3_1/tf_conv_27_1/conv2d_27_1/BiasAdd;functional_15_1/tfc3_3_1/tf_conv_27_1/conv2d_27_1/convolution;,1 20 20 128,204800
379,functional_15_1/tfc3_3_1/tf_conv_27_1/Sigmoid,1 20 20 128,204800
380,functional_15_1/tfc3_3_1/tf_conv_27_1/mul_1,1 20 20 128,204800
381,functional_15_1/tfc3_3_1/concat,1 20 20 256,409600
382,functional_15_1/tfc3_3_1/tf_conv_28_1/conv2d_28_1/BiasAdd;functional_15_1/tfc3_3_1/tf_conv_28_1/conv2d_28_1/convolution;,1 20 20 256,409600
383,functional_15_1/tfc3_3_1/tf_conv_28_1/Sigmoid,1 20 20 256,409600
384,functional_15_1/tfc3_3_1/tf_conv_28_1/mul_1,1 20 20 256,409600
385,functional_15_1/tfsppf_1/tf_conv_31_1/conv2d_31_1/BiasAdd;functional_15_1/tfsppf_1/tf_conv_31_1/conv2d_31_1/convolution;,1 20 20 128,204800
386,functional_15_1/tfsppf_1/tf_conv_31_1/Sigmoid,1 20 20 128,204800
387,functional_15_1/tfsppf_1/tf_conv_31_1/mul_1,1 20 20 128,204800
388,functional_15_1/tfsppf_1/max_pooling2d_1/MaxPool2d,1 20 20 128,204800
389,functional_15_1/tfsppf_1/max_pooling2d_3/MaxPool2d,1 20 20 128,204800
390,functional_15_1/tfsppf_1/max_pooling2d_5/MaxPool2d,1 20 20 128,204800
391,functional_15_1/tfsppf_1/concat,1 20 20 512,819200
392,functional_15_1/tfsppf_1/tf_conv_32_1/conv2d_32_1/BiasAdd;functional_15_1/tfsppf_1/tf_conv_32_1/conv2d_32_1/convolution;,1 20 20 256,409600
393,functional_15_1/tfsppf_1/tf_conv_32_1/Sigmoid,1 20 20 256,409600
394,functional_15_1/tfsppf_1/tf_conv_32_1/mul_1,1 20 20 256,409600
395,functional_15_1/tf_conv_33_1/conv2d_33_1/BiasAdd;functional_15_1/tf_conv_33_1/conv2d_33_1/convolution;functional_15_1/tf_conv_33_1/conv2d_33_1/Squeeze,1 20 20 128,204800
396,functional_15_1/tf_conv_33_1/Sigmoid,1 20 20 128,204800
397,functional_15_1/tf_conv_33_1/mul_1,1 20 20 128,204800
398,functional_15_1/tf_upsample_1/resize/ResizeNearestNeighbor,1 40 40 128,819200
399,functional_15_1/tf_concat_1/concat,1 40 40 256,1638400
400,functional_15_1/tfc3_4_1/tf_conv_34_1/conv2d_34_1/BiasAdd;functional_15_1/tfc3_4_1/tf_conv_34_1/conv2d_34_1/convolution;,1 40 40 64,409600
401,functional_15_1/tfc3_4_1/tf_conv_34_1/Sigmoid,1 40 40 64,409600
402,functional_15_1/tfc3_4_1/tf_conv_34_1/mul_1,1 40 40 64,409600
403,functional_15_1/tfc3_4_1/sequential_9_1/tf_bottleneck_7_1/tf_conv_37_1/conv2d_37_1/BiasAdd;functional_15_1/tfc3_4_1/sequential_9_1/tf_bottleneck_7_1/tf_conv_37_1/conv2d_37_1/convolution;,1 40 40 64,409600
404,functional_15_1/tfc3_4_1/sequential_9_1/tf_bottleneck_7_1/tf_conv_37_1/Sigmoid,1 40 40 64,409600
405,functional_15_1/tfc3_4_1/sequential_9_1/tf_bottleneck_7_1/tf_conv_37_1/mul_1,1 40 40 64,409600
406,functional_15_1/tfc3_4_1/sequential_9_1/tf_bottleneck_7_1/tf_conv_38_1/conv2d_38_1/BiasAdd;functional_15_1/tfc3_4_1/sequential_9_1/tf_bottleneck_7_1/tf_conv_38_1/conv2d_38_1/convolution;,1 40 40 64,409600
407,functional_15_1/tfc3_4_1/sequential_9_1/tf_bottleneck_7_1/tf_conv_38_1/Sigmoid,1 40 40 64,409600
408,functional_15_1/tfc3_4_1/sequential_9_1/tf_bottleneck_7_1/tf_conv_38_1/mul_1,1 40 40 64,409600
409,functional_15_1/tfc3_4_1/tf_conv_35_1/conv2d_35_1/BiasAdd;functional_15_1/tfc3_4_1/tf_conv_35_1/conv2d_35_1/convolution;,1 40 40 64,409600
410,functional_15_1/tfc3_4_1/tf_conv_35_1/Sigmoid,1 40 40 64,409600
411,functional_15_1/tfc3_4_1/tf_conv_35_1/mul_1,1 40 40 64,409600
412,functional_15_1/tfc3_4_1/concat,1 40 40 128,819200
413,functional_15_1/tfc3_4_1/tf_conv_36_1/conv2d_36_1/BiasAdd;functional_15_1/tfc3_4_1/tf_conv_36_1/conv2d_36_1/convolution;,1 40 40 128,819200
414,functional_15_1/tfc3_4_1/tf_conv_36_1/Sigmoid,1 40 40 128,819200
415,functional_15_1/tfc3_4_1/tf_conv_36_1/mul_1,1 40 40 128,819200
416,functional_15_1/tf_conv_39_1/conv2d_39_1/BiasAdd;functional_15_1/tf_conv_39_1/conv2d_39_1/convolution;functional_15_1/tf_conv_39_1/conv2d_39_1/Squeeze,1 40 40 64,409600
417,functional_15_1/tf_conv_39_1/Sigmoid,1 40 40 64,409600
418,functional_15_1/tf_conv_39_1/mul_1,1 40 40 64,409600
419,functional_15_1/tf_upsample_1_2/resize/ResizeNearestNeighbor,1 80 80 64,1638400
420,functional_15_1/tf_concat_1_2/concat,1 80 80 128,3276800
421,functional_15_1/tfc3_5_1/tf_conv_40_1/conv2d_40_1/BiasAdd;functional_15_1/tfc3_5_1/tf_conv_40_1/conv2d_40_1/convolution;,1 80 80 32,819200
422,functional_15_1/tfc3_5_1/tf_conv_40_1/Sigmoid,1 80 80 32,819200
423,functional_15_1/tfc3_5_1/tf_conv_40_1/mul_1,1 80 80 32,819200
424,functional_15_1/tfc3_5_1/sequential_10_1/tf_bottleneck_8_1/tf_conv_43_1/conv2d_43_1/BiasAdd;functional_15_1/tfc3_5_1/sequential_10_1/tf_bottleneck_8_1/tf_conv_43_1/conv2d_43_1/convolution;,1 80 80 32,819200
425,functional_15_1/tfc3_5_1/sequential_10_1/tf_bottleneck_8_1/tf_conv_43_1/Sigmoid,1 80 80 32,819200
426,functional_15_1/tfc3_5_1/sequential_10_1/tf_bottleneck_8_1/tf_conv_43_1/mul_1,1 80 80 32,819200
427,functional_15_1/tfc3_5_1/sequential_10_1/tf_bottleneck_8_1/tf_conv_44_1/conv2d_44_1/BiasAdd;functional_15_1/tfc3_5_1/sequential_10_1/tf_bottleneck_8_1/tf_conv_44_1/conv2d_44_1/convolution;,1 80 80 32,819200
428,functional_15_1/tfc3_5_1/sequential_10_1/tf_bottleneck_8_1/tf_conv_44_1/Sigmoid,1 80 80 32,819200
429,functional_15_1/tfc3_5_1/sequential_10_1/tf_bottleneck_8_1/tf_conv_44_1/mul_1,1 80 80 32,819200
430,functional_15_1/tfc3_5_1/tf_conv_41_1/conv2d_41_1/BiasAdd;functional_15_1/tfc3_5_1/tf_conv_41_1/conv2d_41_1/convolution;,1 80 80 32,819200
431,functional_15_1/tfc3_5_1/tf_conv_41_1/Sigmoid,1 80 80 32,819200
432,functional_15_1/tfc3_5_1/tf_conv_41_1/mul_1,1 80 80 32,819200
433,functional_15_1/tfc3_5_1/concat,1 80 80 64,1638400
434,functional_15_1/tfc3_5_1/tf_conv_42_1/conv2d_42_1/BiasAdd;functional_15_1/tfc3_5_1/tf_conv_42_1/conv2d_42_1/convolution;,1 80 80 64,1638400
435,functional_15_1/tfc3_5_1/tf_conv_42_1/Sigmoid,1 80 80 64,1638400
436,functional_15_1/tfc3_5_1/tf_conv_42_1/mul_1,1 80 80 64,1638400
437,functional_15_1/tf_conv_45_1/sequential_11_1/tf_pad_5_1/Pad,1 82 82 64,1721344
438,functional_15_1/tf_conv_45_1/sequential_11_1/conv2d_45_1/BiasAdd;functional_15_1/tf_conv_45_1/sequential_11_1/conv2d_45_1/convolution;functional_15_1/tf_conv_45_1/sequential_11_1/conv2d_45_1/Squeeze,1 40 40 64,409600
439,functional_15_1/tf_conv_45_1/Sigmoid,1 40 40 64,409600
440,functional_15_1/tf_conv_45_1/mul_1,1 40 40 64,409600
441,functional_15_1/tf_concat_2_1/concat,1 40 40 128,819200
442,functional_15_1/tfc3_6_1/tf_conv_46_1/conv2d_46_1/BiasAdd;functional_15_1/tfc3_6_1/tf_conv_46_1/conv2d_46_1/convolution;,1 40 40 64,409600
