Operator,Working set,Memory use,MACs
MobileNetV3Large_1/re_lu_15_1/Relu6;MobileNetV3Large_1/Add_4;MobileNetV3Large_1/expanded_conv_11_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_11_squeeze_excite_conv_1_2/convolution;,215 211 217 218,6496,112896
MobileNetV3Large_1/Mul_4,211 215 218 219,8512,0
MobileNetV3Large_1/expanded_conv_11_squeeze_excite_mul_1/Mul,211 215 219 220,8512,0
MobileNetV3Large_1/expanded_conv_11_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_11_project_1/convolution;,211 220 221,3584,75264
MobileNetV3Large_1/expanded_conv_11_add_1/Add,211 221 222,1344,112
MobileNetV3Large_1/expanded_conv_12_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_12_expand_1/convolution;,222 223,3136,75264
MobileNetV3Large_1/activation_13_1/mul;;MobileNetV3Large_1/activation_13_1/Relu6;MobileNetV3Large_1/activation_13_1/add;MobileNetV3Large_1/activation_13_1/truediv,223 224,5376,0
MobileNetV3Large_1/expanded_conv_12_depthwise_pad_1/Pad,224 225,5376,0
MobileNetV3Large_1/expanded_conv_12_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_12_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_12_depthwise_1/depthwise;,225 226,5376,16800
MobileNetV3Large_1/activation_14_1/mul;;MobileNetV3Large_1/activation_14_1/Relu6;MobileNetV3Large_1/activation_14_1/add;MobileNetV3Large_1/activation_14_1/truediv,226 227,5376,0
MobileNetV3Large_1/expanded_conv_12_squeeze_excite_avg_pool_1/Mean,227 228,5376,672
MobileNetV3Large_1/expanded_conv_12_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_12_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_12_squeeze_excite_conv_1/convolution;,227 228 229,6048,112896
